codigo;loja;nome;N Fantasia;endereco;complemento;bairro;uf;codigo_municipio;municipio;cep;pais;cnpj_cpf;ins_estadual;latitude;longitude;vendedor
186;13;RMIX COMERCIO DE GENEROS ALIMENTICIOS LTDA;REDEMIX RIO VERMELHO;RUA OSWALDO CRUZ 000564;;RIO VERMELHO;BA;27408;SALVADOR;41940-000;105;06.337.087/0017-30;201.193.400;;;VINICIUS
186;14;RMIX COMERCIO DE GENEROS ALIMENTICIOS LTDA;REDEMIX SALVADOR SHOPPING;AVENIDA TANCREDO NEVES 003133;;CAMINHO DAS ARVORES;BA;27408;SALVADOR;41820-021;105;06.337.087/0020-36;232.415.238;;;VINICIUS
203;1;UNIMAR SUPERMERCADO LTDA;HIPER UNIMAR BARRA DO POJUCA;R FILOGONIO DE OLIVEIRA 141;;BARRA DO POJUCA;BA;5701;CAMACARI;42825-000;105;07.896.520/0001-73;68554400;;;NIXON
203;2;UNIMAR SUPERMERCADO E ATACADO LTDA;HIPER UNIMAR AREMBEPE;R ALTO DA CONCEICAO SN;;AREMBEPE (ABRANTES);BA;5701;CAMACARI;42830-570;105;07.896.520/0005-05;166.387.904;;;NIXON
203;3;UNIMAR SUPERMERCADO E ATACADO LTDA;HIPER UNIMAR PARQUE NASC DA CAPIVARA;R DOM PEDRO 1 SN;QUADRA LOTE 08;PARQUE NASC DA CAPIVARA;BA;5701;CAMACARI;42800-970;105;07.896.520/0003-35;158.767.411;;;NIXON
208;1;COGEALI COM DE GENEROS ALIMENTICIOS LTDA;COGEALI LJ 01 PARIPE;RUA DR EDUARDO DOTTO 81;;PARIPE;BA;27408;SALVADOR;40800-010;105;07.348.911/0001-53;66578354;;;VINICIUS
208;2;COAGELI - COMERCIAL DE GENEROS ALIMENTICIOS LTDA;COAGELI LJ 2 CENTRO;PC MARTINIANO MAIA. 93;;CENTRO;BA;19207;LAURO DE FREITAS;42702-720;105;07.348.911/0002-34;149362221;;;VINICIUS
209;1;MASANI COM DE GENEROS ALIMENTICIOS LTDA;MASANI COM;AV PAULO VI 1932 PARQUE FLAMBOYANT;;PITUBA;BA;27408;SALVADOR;41810-001;105;00.813.880/0001-15;42630410;;;VINICIUS
213;1;ATAKAREJO DIST DE ALIMENTOS E BEBIDAS EI;ATAKAREJO IGUATEMI;AV SANTIAGO DE COMPOSTELA 425;;PARQUE BELA VISTA;BA;27408;SALVADOR;40279-150;105;73.849.952/0001-58;38971309;;;RICARDO
213;2;ATAKAREJO DIST DE ALIMENTOS E BEBIDAS EI;ATAKAREJO LAURO;AV SANTOS DUMONT 5772;;ESTRADA DO COCO;BA;19207;LAURO DE FREITAS;42700-000;105;73.849.952/0003-10;77593840;;;RICARDO
213;3;ATAKAREJO DIST DE ALIMENTOS E BEBIDAS EI;ATAKAREJO CAMINHO DE AREIA;AV TIRADENTES 88;;CAMINHO DE AREIA;BA;27408;SALVADOR;40440-360;105;73.849.952/0006-62;82462062;;;RICARDO
213;4;ATAKAREJO DIST DE ALIMENTOS E BEBIDAS EI;ATAKAREJO CALCADA;R ELIAS NAZARE 22;;CALCADA;BA;27408;SALVADOR;40411-000;105;73.849.952/0004-09;78213995;;;RICARDO
213;5;ATAKAREJO DIST DE ALIMENTOS E BEBIDAS;ATAKAREJO PIATA;AV OCTAVIO MANGABEIRA;;PIATA;BA;27408;SALVADOR;41650-000;105;73.849.952/0009-05;112613736;;;RICARDO
213;6;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BE;ATAKAREJO CABULA;ESTRADA DAS BARREIRAS;;CABULA;BA;27408;SALVADOR;41195-001;105;73.849.952/0008-24;111689374;;;RICARDO
213;7;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO BOCA DO RIO;R ABELARDO ANDRADE DE CARVALHO,472;;BOCA DO RIO;BA;27408;SALVADOR;41706-710;105;73.849.952/0002-39;72567935;;;RICARDO
213;8;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO AMARALINA;R JANIO QUADROS, 390;;AMARALINA;BA;27408;SALVADOR;41900-340;105;73.849.952/0011-20;134196754;;;RICARDO
213;9;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO SALVADOR;AV SAO CRISTOVAO, 301;;SALVADOR;BA;27408;SALVADOR;41510-333;105;73.849.952/0017-15;144638996;;;RICARDO
213;10;ATAKAREJO DISTRIBUIDOR DE BEBIDAS E ALIMENTOS S.A;ATAKAREJO CASTELO BRANCO;R GENARO DE CARVALHO,150;;CASTELO BRANCO;BA;27408;SALVADOR;41320-100;105;73.849.952/0018-04;145559100;;;RICARDO
213;11;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO PERNAMBUES;AV TRANQUEDO NEVES, 3290;;PERNAMBUES;BA;27408;SALVADOR;41100-800;105;73.849.952/0015-53;142437117;;;RICARDO
213;12;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO CD SIMOES FILHO;V DE PENETRACAO I 690;;CIA SUL;BA;30709;SIMOES FILHO;43700-000;105;73.849.952/0021-00;159.338.218;;;RICARDO
213;13;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO CAMACARI;JD LIMOEIRO S/N;;LIMOEIRO;BA;5701;CAMACARI;42800-681;105;73.849.952/0013-91;140.557.666;;;RICARDO
213;14;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO PATAMARES;AV LUIS VIANA FILHO 6282;;PATAMARES;BA;27408;SALVADOR;41680-400;105;73.849.952/0029-59;179.439.821;;;RICARDO
213;15;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO ENGENHO VELHO DE BROTAS;AV VASCO DA GAMA 437;TODO IMOVEL;ENGENHO VELHO DE BROTAS;BA;27408;SALVADOR;40240-090;105;73.849.952/0032-54;185825759;;;RICARDO
213;16;ATAKAREJO ITACIMIRIM;ATAKAREJO ITACIMIRIM;ROD RODOVIA BA 099 DO COCO SN;KM 64;ITACIMIRIM (MONTE GORDO);BA;5701;CAMACARI;42840-660;105;73.849.952/0031-73;180.419.133;;;RICARDO
213;17;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO ILHA;RODOVIA BA 001 8765;;COROA;BA;33208;VERA CRUZ;44470-000;105;73.849.952/0034-16;186650482;;;RICARDO
213;18;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO CD VITORIA DA CONQUISTA;ROD BR 116 830;;AYRTON SENNA;BA;33307;VITORIA DA CONQUISTA;45058-000;105;73.849.952/0050-36;220.842.714;;;RICARDO
213;19;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO FEIRA BARAUNA;AVENIDA JOSE FALCAO DA SILVA 150;;BARAUNA;BA;10800;FEIRA DE SANTANA;44020-122;105;73.849.952/0016-34;144.638.888;;;RICARDO
213;20;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO ILHEUS;AVENIDA TANCREDO NEVES SN;;OLIVENCA;BA;13606;ILHEUS;45660-500;105;73.849.952/0042-26;214.063.932;;;RICARDO
213;21;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO ARACAJU ADELIA;AVENIDA ADELIA FRANCO 2350;;LUZIA;SE;308;ARACAJU;49048-010;105;73.849.952/0044-98;27.216.861-0;;;RICARDO
213;22;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO PORTO SEGURO;AVENIDA IVAN COSTA RODRIGUES SN;;CIDADE ALTA - SEDE;BA;25303;PORTO SEGURO;45810-000;105;73.849.952/0040-64;210184518;;;RICARDO
213;23;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO VITORIA DA CONQUISTA;AVENIDA OLIVIA FLORES SN;;CANDEIAS;BA;33307;VITORIA DA CONQUISTA;45028-100;105;73.849.952/0036-88;202.731.366;;;RICARDO
213;24;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO QUINTAS DO MORUMBI;AVENIDA DAS PALMEIRAS S/N;;QUINTAS DO MORUMBI;BA;16401;ITAPETINGA;45700-000;105;73.849.952/0046-50;216.572.944;;;RICARDO
213;25;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO  SAO GONCALO DOS CAMPOS;AVENIDA JOSE CARLOS DE LACERDA S/N;;LUIZ EDUARDO MAGALHAES;BA;29305;SAO GONCALO DOS CAMPOS;44330-000;105;73.849.952/0047-30;216.573.079;;;RICARDO
213;26;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BE;AVENIDA PRESIDENTE JOAO GOULART 171;;CENTRO;BA;18001;JEQUIE;45200-070;105;73.849.952/0028-78;174.964.200;;;RICARDO
213;27;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO SAO CAETANO;AVENIDA PRINCESA ISABEL SN;;SAO CAETANO;BA;14802;ITABUNA;45607-003;105;73.849.952/0035-05;202.731.258;;;RICARDO
213;28;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO BAIXA DE QUINTAS;ESTRADA DA RAINHA 000646;;BAIXA DE QUINTAS;BA;27408;SALVADOR;40300-035;105;73.849.952/0019-87;155.323.173;;;RICARDO
213;29;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO ALAGOINHA;ALAMEDA DAS AGUAS SN;;NOVO HORIZONTE;BA;702;ALAGOINHAS;48009-886;105;73.849.952/0012-00;140.557.558;;;RICARDO
213;30;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO SIMOES FILHO;AVENIDA ENG ELMO SEREJO DE FARIAS 2073;;CIA I;BA;30709;SIMOES FILHO;43700-000;105;73.849.952/0014-72;140557774;;;RICARDO
213;31;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO PATAMARES PINTO DE AGUIAR;RUA CARIMBAMBA 0000SN;;PITUACU;BA;27408;SALVADOR;41740-010;105;73.849.952/0039-20;210.184.400;;;RICARDO
213;32;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO  SETE DE ABRIL;AVENIDA MARIA LUCIA 001015;;SETE DE ABRIL;BA;27408;SALVADOR;41385-445;105;73.849.952/0025-25;168.523.388;;;RICARDO
213;33;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO POJUCA;VIA BA 533 SN;;STAR;BA;25204;POJUCA;48120-000;105;73.849.952/0049-00;220.799.768;;;RICARDO
213;34;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO ITABUNA;RUA B SN;;NOVA CALIFORNIA;BA;14802;ITABUNA;45604-400;105;73.849.952/0043-07;214.064.067;;;RICARDO
213;35;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO;RUA VEREADOR ZEZEU RIBEIRO 000111;;FAZENDA GRANDE II;BA;27408;SALVADOR;41342-153;105;73.849.952/0022-82;161.502.288;;;RICARDO
213;36;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO;RUA FREDERICO COSTA 000146;;PERIPERI;BA;27408;SALVADOR;40725-620;105;73.849.952/0023-63;161.502.396;;;RICARDO
213;37;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO;AVENIDA AFRANIO PEIXOTO 003913;;LOBATO;BA;27408;SALVADOR;40470-630;105;73.849.952/0024-44;161.502.404;;;RICARDO
213;38;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO;RUA SEM DENOMINACAO 251;;CENTRO;BA;10057;DIAS D'AVILA;42850-000;105;73.849.952/0052-06;225.505.894;;;RICARDO
213;39;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO FEIRA MANGABEIRA;RUA EUNAPOLIS S/N;;MANGABEIRA;BA;10800;FEIRA DE SANTANA;44056-684;105;73.849.952/0057-02;227.985.340;;;RICARDO
213;40;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO  FEIRA SIM;AVENIDA FERNANDO PINTO DE QUEIROZ S/N;;SIM;BA;10800;FEIRA DE SANTANA;44085-620;105;73.849.952/0059-74;228.338.707;;;RICARDO
213;41;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO  CATU;AVENIDA PADRE CUPERTINO 00;CENTRO NUMERO 00;CENTRO;BA;7509;CATU;48110-000;105;73.849.952/0054-60;225533622;;;RICARDO
213;42;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO;AVENIDA PADRE CUPERTINO 00;;CENTRO;BA;7509;CATU;48110-000;105;73.849.952/0054-60;225533622;;;RICARDO
213;43;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO NOSSA SENHORA DA GLORIA;RUA FRANCISCO VIEIRA DOS SANTOS 86;;JOVIANO BARBOSA;SE;4508;NOSSA SENHORA DA GLORIA;49680-000;105;73.849.952/0051-17;27.223.761-2;;;RICARDO
213;44;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO  LAGARTO;AVENIDA SIN ANTONIO FRANCISCO DA ROCHA-L;;EXPOSICAO;SE;3500;LAGARTO;49400-000;105;73.849.952/0055-40;27.225.678-1;;;RICARDO
213;45;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO ITABAINA;AVENIDA NIVALDA LIMA FIGUEIREDO 867;;ANIZIO AMANCIO DE OLIVEIRA;SE;2908;ITABAIANA;49503-396;105;73.849.952/0058-93;272283894;;;RICARDO
213;46;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO ARACAJU PARAISO;AVENIDA PRES TANCREDO NEVES 8050;;NOVO PARAISO;SE;308;ARACAJU;49082-005;105;73.849.952/0060-08;27.232.185-0;;;RICARDO
213;47;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO - ESTANCIA ARACAJU;AVENIDA RUBENS ALVES DA SILVA 1.132;;SANTA CRUZ;SE;2106;ESTANCIA;49200-000;105;73.849.952/0048-11;27.223.877-5;;;RICARDO
218;1;DELI E CIA DELICATESSEN LTDA;DELI E CIA GRACA;AV EUCLIDES DA CUNHA 79;;GRACA;BA;27408;SALVADOR;40150-120;105;08.957.752/0001-57;74571398;;;RICARDO
259;1;FRUTOS DA TERRA MINIMERCADO LTDA - ME;FRUTOS DA TERRA;R DR JULIO DE MELO , 538;;CENTRO;PE;11101;PETROLINA;56302-150;105;05.370.733/0001-31;29649536;;;ANTONIO
1456;12;ARMAZEM MATEUS S.A.;MATEUS CD - FEIRA DE SANTANA/BA;ROD BA 502 SN;;BOA HORA;BA;29305;SAO GONCALO DOS CAMPOS;44330-000;105;23.439.441/0058-25;203.844.342;;;RICARDO
1600;1;DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS S;DIST SAO ROQUE STA MONICA;AV EDUARDO FROES DA MOTA;;SANTA MONICA;BA;10800;FEIRA DE SANTANA;44078-015;105;03.705.630/0001-50;53234111;;;VINICIUS
1600;2;DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS SAO ROQUE LTDA;DIST SAO ROQUE CENTRO;R CASTRO ALVES 1473;;CENTRO;BA;10800;FEIRA DE SANTANA;44001-184;105;03.705.630/0002-30;65.232.825;;;VINICIUS
1600;3;DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS SAO ROQUE LTDA;DIST SAO ROQUE  MANGABEIRA;AV FRANCISCO FRAGA MAIA SN;;MANGABEIRA;BA;10800;FEIRA DE SANTANA;44056-232;105;03.705.630/0004-00;96.631.649;;;VINICIUS
1600;4;DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS SAO ROQUE LTDA;DIST SAO ROQUE CALUMBI;R TOME DE SOUZA 259;;CALUMBI;BA;10800;FEIRA DE SANTANA;44008-405;105;03.705.630/0011-21;183.298.450;;;VINICIUS
1600;5;DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS SAO ROQUE LTDA;DIST SAO ROQUE SIM;AV ARTEMIA PIRES FREITAS CN;;SIM;BA;10800;FEIRA DE SANTANA;44085-370;105;03.705.630/0005-83;9.958.135;;;VINICIUS
1600;6;DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS SAO ROQUE LTDA;DIST SAO ROQUE STO ESTEVAO;AVENIDA GETULIO VARGAS 197;;CENTRO;BA;28802;SANTO ESTEVAO;44190-000;105;03.705.630/0015-55;211.680.039;;;VINICIUS
1600;7;DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS SAO ROQUE LTDA;DIST SAO ROQUE CONCEICAO;RUA CALAMAR 267;;CONCEICAO;BA;10800;FEIRA DE SANTANA;44065-104;105;03.705.630/0013-93;211.679.860;;;VINICIUS
1600;8;DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS SAO ROQUE LTDA;SAO ROQUE ARTEMIA PIRES;AVENIDA ARTEMIA PIRES FREITAS 9000;;SIM;BA;10800;FEIRA DE SANTANA;44085-370;105;03.705.630/0014-74;211.679.978;;;VINICIUS
1647;2;BOMPRECO BAHIA SUPERMERCADOS LTDA;BOM PRECO BA;RODOVIA BA 093 - 4120;;PALMARES;BA;30709;SIMOES FILHO;43700-000;105;97.422.620/0146-15;134883850;;;VINICIUS
1647;5;BOMPRECO BAHIA SUPERMERCADOS LTDA;WALMART - CHAME CHAME;AV CENTENARIO 2786;LOJA B515;CHAME-CHAME;BA;27408;SALVADOR;40157-151;105;97.422.620/0010-41;000.118.145;;;VINICIUS
1647;8;BOMPRECO BAHIA SUPERMERCADOS LTDA;BIG BOMPRECO PORTAO;AV SANTOS DUMONT 7650;PORTAO;LAURO DE FREITAS;BA;19207;LAURO DE FREITAS;42700-130;105;97.422.620/0068-68;50807172;;;VINICIUS
1647;10;BOMPRECO BAHIA SUPERMERCADOS LTDA;BOMPRECO - PITUBA;R PERNAMBUCO 510;;PITUBA;BA;27408;SALVADOR;41830-391;105;97.422.620/0009-08;000.106.959;;;VINICIUS
1763;1;PONTO VERDE COMERCIO DE ALIMENTOS LTDA;PONTO VERDE SETE PORTAS;LRG DAS SETE PORTAS, 06;ED EL CIDADE TERREO SOBRE LOJA;SETE PORTAS;BA;27408;SALVADOR;40040-375;105;00.658.059/0001-71;41985878;;;VINICIUS
1763;2;PONTO VERDE COMERCIO DE ALIMENTOS LTDA;PONTO VERDE IAPI;RUA CONDE DE PORTO ALEGRE, SN;QUADRA 01 LOTE 02;IAPI;BA;27408;SALVADOR;40330-201;105;00.658.059/0002-52;49394407;;;VINICIUS
1763;3;PONTO VERDE COMERCIO DE ALIMENTOS LTDA;PONTO VERDE VILA LAURA;RUA RAUL LEITE, 116;;VILA LAURA;BA;27408;SALVADOR;40270-010;105;00.658.059/0003-33;50009088;;;VINICIUS
1824;1;GRAL PANIFICACAO EIRELI;GRAL PANIFICACAO;ALAMEDA PADUA N 126;;PITUBA;BA;27408;SALVADOR;41830-480;105;23.793.817/0001-60;129254610;;;RICARDO
1872;1;CARBALLO FARO IMPORTACAO E DISTRIBUICAO;CARBALLO FARO - PITUBA;AV. PAULO VI   N1498;;PITUBA;BA;27408;SALVADOR;41810-001;105;12.765.924/0002-49;126624748;;;RICARDO
1872;3;CARBALLO FARO IMPORTACAO E DISTRIBUICAO LTDA;CARBALLO FARO - HORTO;AV SANTA LUZIA, 985;LOJA LOT PARQUE FLORESTAL LOTE 0073;FORTO FLORESTAL;BA;27408;SALVADOR;40295-050;105;12.765.924/0003-20;134311791;;;RICARDO
1872;4;CARBALLO FARO IMPORTACAO E DISTRIBUICAO LTDA;CARBALLO FARO ALPHAVILLE;AV ALPHAVILLE, 199;EDIF CARLOS FABRICIO LEITE COSTA SL 01;ALPHAVILLE I;BA;27408;SALVADOR;41701-015;105;12.765.924/0004-00;152426901;;;RICARDO
1899;12;SENDAS DISTRIBUIDORA;ASSAI VITORIA CONQUISTA;AVENIDA ANEL DE CONTORNO SN;;FELICIA;BA;33307;VITORIA DA CONQUISTA;45055-686;105;06.057.223/0317-27;131807514;;;NIXON
1899;13;SENDAS DISTRIBUIDORA;ASSAI FEIRA SOBRADINHO;AVENIDA EDUARDO FROES DE MOTA  SN;;SOBRADINHO;BA;10800;FEIRA DE SANTANA;44021-215;105;06.057.223/0314-84;131694439;;;NIXON
1899;15;SENDAS DISTRIBUIDORA;ASSAI JEQUIE;AVENIDA CESAS BORGES SN;PARTE1;SAO JUDAS TADEU;BA;18001;JEQUIE;45203-830;105;06.057.223/0313-01;131656891;;;ANTONIO
1899;34;SENDAS DISTRIBUIDORA S/A;ASSAI LAURO DE FREITAS;AV SANTOS DUMONT 2239;;ESTRADA DO COCO;BA;19207;LAURO DE FREITAS;42700-130;105;06.057.223/0324-56;133.122.260;;;NIXON
1899;35;SENDAS DISTRIBUIDORA S/A;ASSAI CAMACARI;AVENIDA JORGE AMADO;LOTE 02 A;INDUSTRIAL;BA;5701;CAMACARI;42800-311;105;06.057.223/0383-06;152.922.810;;;NIXON
1899;36;SENDAS DISTRIBUIDORA S/A;ASSAI PARIPE;AV AFRANIO PEIXOTO  SN;;PARIPE;BA;27408;SALVADOR;40800-570;105;06.057.223/0322-94;133.095.856;;;NIXON
1899;37;SENDAS DISTRIBUIDORA S/A;ASSAI MUSSURUNGA;R PROFESSOR PLINIO GARCEZ DE SENA  1240;;MUSSURUNGA I;BA;27408;SALVADOR;41490-340;105;06.057.223/0424-19;168.999.879;;;NIXON
1899;38;SENDAS DISTRIBUIDORA S/A;ASSAI PAU DA LIMA;AV ALIOMAR BALEEIRO  2249;TR;VILA CANARIA;BA;27408;SALVADOR;41390-710;105;06.057.223/0381-44;152.849.650;;;NIXON
1899;39;SENDAS DISTRIBUIDORA S/A;ASSAI CALCADA;R LUIZ REGIS PACHECO 368;;URUGUAI;BA;27408;SALVADOR;40451-360;105;06.057.223/0361-09;143296032;;;NIXON
1899;41;SENDAS DISTRIBUIDORA S/A;ASSAI CIDADE NOVA;AV LOMANTO JUNIOR MARGEM BR 116 SN;;CIDADE NOVA;BA;30501;SERRINHA;48700-000;105;06.057.223/0406-37;162.235.030;;;NIXON
1899;42;SENDAS DISTRIBUIDORA S/A;ASSAI JOSE CONRADO DE ARAUJO;R SIMEAO AGUIAR 430;;JOSE CONRADO DE ARAUJO;SE;308;ARACAJU;49085-410;105;06.057.223/0299-00;27.152.081-7;;;NIXON
1899;43;SENDAS DISTRIBUIDORA S/A;ASSAI AEROPORTO;AV MELICIO MACHADO 240;LOTE 01;AEROPORTO;SE;308;ARACAJU;49038-443;105;06.057.223/0404-75;27.166.581-5;;;NIXON
1899;44;SENDAS DISTRIBUIDORA S/A;ASSAI PORTO;AV EDUARDO PAIXAO ROCHA 1667;;PORTO;SE;2908;ITABAIANA;49510-190;105;06.057.223/0364-43;27.158.258-8;;;NIXON
1899;51;SENDAS DISTRIBUIDORA S/A;ASSAI BARRIS;R DO SALETE 30;;BARRIS;BA;27408;SALVADOR;40070-200;105;06.057.223/0470-54;183.250.038;;;NIXON
1899;52;SENDAS DISTRIBUIDORA S/A;ASSAI CABULA;R SILVEIRA MARTINS 000119;;CABULA;BA;27408;SALVADOR;41150-000;105;06.057.223/0483-79;188.374.289;;;NIXON
1899;53;SENDAS DISTRIBUIDORA S/A;ASSAI VASCO DA GAMA 4049;AV VASCO DA GAMA 4049;;FEDERACAO;BA;27408;SALVADOR;40230-731;105;06.057.223/0484-50;188.455.405;;;NIXON
1899;54;SENDAS DISTRIBUIDORA S/A;ASSAI INACIO BARBOSA;AV ADELIA FRANCO 3735;;INACIO BARBOSA;SE;308;ARACAJU;49040-020;105;06.057.223/0518-33;27.182.055-1;;;NIXON
1899;62;SENDAS DISTRIBUIDORA S/A;ASSAI CABULA;R SILVEIRA MARTINS 000119;;CABULA;BA;27408;SALVADOR;41150-000;105;06.057.223/0483-79;188.374.289;;;NIXON
1899;63;SENDAS DISTRIBUIDORA S/A;ASSAI VASCO DA GAMA;AV VASCO DA GAMA 4049;;FEDERACAO;BA;27408;SALVADOR;40230-731;105;06.057.223/0484-50;188.455.405;;;NIXON
1899;65;SENDAS DISTRIBUIDORA S/A;ASSAI INACIO BARBOSA;AV ADELIA FRANCO 3736;;INACIO BARBOSA;SE;308;ARACAJU;49040-020;105;06.057.223/0518-33;27.182.055-1;;;NIXON
1899;66;SENDAS DISTRIBUIDORA S/A;ASSAI NOSSA SRA DO SOCORRO;AV EIXO ESTRUTURAL B SN;QUADRA 2 LOTE 1;DISTRITO;SE;4805;NOSSA SENHORA DO SOCORRO;49160-000;105;06.057.223/0478-01;27.179.082-2;;;NIXON
1899;67;SENDAS DISTRIBUIDORA S/A;ASSAI LUIS ANSELMO;AV ANTONIO CARLOS MAGALHAES 001400;;LUIS ANSELMO;BA;27408;SALVADOR;40260-700;105;06.057.223/0552-35;193.972.607;;;NIXON
1899;74;SENDAS DISTRIBUIDORA S/A;ASSAI IMBUI;AV LUIS VIANA FILHO 3056;LOJA TRECHO A;IMBUI;BA;27408;SALVADOR;41720-200;105;06.057.223/0541-82;191902820;;;NIXON
1899;75;SENDAS DISTRIBUIDORA S/A;ASSAI TOMBA;AV EDUARDO FROES DA MOTA 2500;;TOMBA;BA;10800;FEIRA DE SANTANA;44090-156;105;06.057.223/0451-91;178197353;;;NIXON
1899;79;SENDAS DISTRIBUIDORA S/A;ASSAI PETROLINA;AV SETE DE SETEMBRO SN;ANEXO AREA 2 A 1;ANTONIO CASSIMIRO;PE;11101;PETROLINA;56330-900;105;06.057.223/0477-20;0985934-98;;;ANTONIO
1899;80;SENDAS DISTRIBUIDORA S/A;ASSAI SR DO BONFIM;RUA OTAVIO JOSE DE CARVALHO 650;;UMBURANA;BA;30105;SENHOR DO BONFIM;48970-000;105;06.057.223/0407-18;162.235.149;;;ANTONIO
1899;81;SENDAS DISTRIBUIDORA S/A;ASSAI JUAZEIRO;AVENIDA SAO JOAO 1947;;JARDIM VITORIA;BA;18407;JUAZEIRO;48900-441;105;06.057.223/0315-65;131.710.674;;;ANTONIO
1926;1;JOSE ORICELIO FURTADO ME;FEIRAO DAS FRUTAS ATRAS DA BANCA;RUA SAO FRANCISCO N 559;;ATRAS DA BANCA;PE;11101;PETROLINA;56308-060;105;08.473.979/0001-27;34541349;;;ANTONIO
1926;2;HORTIFRUTI FEIRAO DAS FRUTAS LTDA;FEIRAO DAS FRUTAS MARIA AUXILIADORA;AV MONSENHOR ANGELO SAMPAIO 487;;MARIA AUXILIADORA;PE;11101;PETROLINA;56330-300;105;08.473.979/0002-08;111128161;;;ANTONIO
2088;6;PAJEU NORDESTE LTDA;PAJEU PETROLINA KM2;R ANIZIO MOURA LEAL AV CEAP 86;;km2;PE;11101;PETROLINA;56306-475;105;02.814.573/0009-31;0308834-07;;;ANTONIO
